clientCode,family,consumo2020,consumo2021,consumo2022,consumo2023,fDato,ventas2020,ventas2021,ventas2022,ventas2023,"competidores","comentarios"
13444,POLIOLES,,12.000,124.000,25.000,01/03/2024,,12.000,123.580,25.000,"",""
13448,GLICOLES,80.000,80.000,80.000,80.000,01/03/2024,,34.100,39.800,25.700,"",""
13459,POLIOLES,,2.160,,,01/03/2024,,2.160,,,"",""
13469,POLIOLES,,1.000,,,01/03/2024,,1.000,,,"",""
13471,GLICOLES,,,39.780,24.000,01/03/2024,,,39.780,23.780,"",""
13472,GLICOLES,,,24.980,1500.000,01/03/2024,,,24.980,,"",""
13478,POLIOLES,,23.000,,,01/03/2024,,22.900,,,"","empresa Rusa. No more contact"
13483,GLICOLES,,,327.460,700.000,01/03/2024,,,327.460,331.240,"",""
13488,POLIOLES,,,6.000,250.000,01/03/2024,,,6.000,,"",""
13490,GLICOLES,,,39.620,,01/03/2024,,,39.620,,"","empresa cerrada"
13498,POLIOLES,,,578.140,713.080,01/03/2024,,,578.140,713.080,"",""
13510,GLICOLES,250.000,250.000,250.000,40.000,01/03/2024,,19.980,46.980,39.840,"",""
13513,POLIOLES,600.000,645.000,599.850,539.865,01/03/2024,,20.420,46.660,,"",""
13515,GLICOLES,,,24.980,,01/03/2024,,,24.980,,"",""
13519,POLIOLES,7000.000,7000.000,7000.000,6500.000,01/03/2024,1564.440,2056.460,2027.000,1640.020,"",""
13521,POLIOLES,,,103.100,4000.000,01/03/2024,,,103.100,77.860,"",""
13523,POLIOLES,,20.000,,,01/03/2024,,19.920,,,"",""
13527,GLICOLES,,,,100.000,01/03/2024,,,,45.000,"",""
13527,POLIOLES,,,10.000,100.000,01/03/2024,,,10.000,20.000,"",""
13538,POLIOLES,,,213.140,1500.000,01/03/2024,,,213.140,,"",""
13541,POLIOLES,,,17.600,3000.000,01/03/2024,,,17.600,17.600,"",""
13542,POLIOLES,1600.000,1800.000,1800.000,1800.000,01/03/2024,,,115.020,217.040,"Basf, Oltchim",""
13544,POLIOLES,,,,10.000,01/03/2024,,,,,"",""
13548,GLICOLES,,,10.000,10.000,01/03/2024,,,10.000,,"",""
13553,POLIOLES,,,81.910,153.000,01/03/2024,,,81.910,153.180,"",""
13560,GLICOLES,,,22.900,300.000,01/03/2024,,,22.900,,"",""
13566,POLIOLES,,,135.980,,01/03/2024,,,135.980,,"",""
13569,POLIOLES,,,35.000,144.000,01/03/2024,,,35.000,78.000,"",""
13584,GLICOLES,,,96.820,120.000,01/03/2024,,,96.820,73.660,"",""
13586_01OB,POLIOLES,,,1.000,,01/03/2024,,,1.000,,"",""
13586_02KE,POLIOLES,,,117.640,,01/03/2024,,,117.640,,"",""
13597,GLICOLES,,,,17.000,01/03/2024,,,,16.960,"",""
13597,POLIOLES,,,1073.200,951.000,01/03/2024,,,1073.200,951.100,"",""
13603,POLIOLES,,,7.040,7.000,01/03/2024,,,7.040,5.720,"",""
13606,POLIOLES,,,27.000,,01/03/2024,,,27.000,,"",""
13608,POLIOLES,,,342.220,666.000,01/03/2024,,,342.220,665.560,"",""
13610,POLIOLES,,,18.000,20.000,01/03/2024,,,18.000,10.000,"",""
13617,GLICOLES,,,42.000,50.000,01/03/2024,,,42.000,22.000,"",""
13618,POLIOLES,,,48.960,600.000,01/03/2024,,,48.960,,"",""
13621,POLIOLES,,,12.320,38.000,01/03/2024,,,12.320,37.840,"",""
13629,POLIOLES,,,372.160,800.000,01/03/2024,,,372.160,47.020,"",""
13641,GLICOLES,,,48.260,600.000,01/03/2024,,,48.260,266.560,"",""
13671,ESTIRENO,,,62.460,800.000,01/03/2024,,,62.460,,"",""
13681,POLIOLES,,,1.000,1200.000,01/03/2024,,,1.000,353.980,"",""
13686,POLIOLES,,,17.900,600.000,01/03/2024,,,17.900,178.500,"",""
13688,POLIOLES,,,1.000,300.000,01/03/2024,,,1.000,,"",""
13702,POLIOLES,,,,72.000,01/03/2024,,,,72.160,"",""
13742_00AQ,GLICOLES,,,,500.000,01/03/2024,,,,35.200,"","mercado total Jordania"
13742_01BE,GLICOLES,,,,200.000,01/03/2024,,,,17.600,"","mercado total Libano"
13751,GLICOLES,,,,300.000,01/03/2024,,,,147.040,"",""
13755,POLIOLES,,,,53.000,01/03/2024,,,,53.000,"",""
13765,POLIOLES,,,,4800.000,01/03/2024,,,,315.080,"",""
13773,POLIOLES,,,,2500.000,01/03/2024,,,,1053.120,"",""
13794,POLIOLES,,,,250.000,01/03/2024,,,,17.600,"",""
13796,POLIOLES,,,,1.000,01/03/2024,,,,1.000,"",""
13807,GLICOLES,,,,325.000,01/03/2024,,,,325.320,"",""
13812,GLICOLES,,,,48.000,01/03/2024,,,,47.620,"",""
13813,POLIOLES,,,,20.000,01/03/2024,,,,12.000,"",""
13826,GLICOLES,,,,400.000,01/03/2024,,,,18.000,"","distribuidor"
13856,POLIOLES,,,,1500.000,01/03/2024,,,,153.240,"",""
13881,POLIOLES,,,,1.000,01/03/2024,,,,1.000,"",""
20233,OP,750.000,950.000,950.000,401.000,01/03/2024,710.040,828.880,682.960,400.900,"LYONDELLBASELL",""
20282,POLIOLES,2330.000,3333.000,2300.000,2667.000,01/03/2024,1835.340,2449.920,1834.910,1011.360,"DOW",""
20287,POLIOLES,2600.000,3000.000,3000.000,3000.000,01/03/2024,302.560,,,262.960,"DoW",""
20365,POLIOLES,48.400,,,,01/03/2024,48.400,,,,"",""
20600,POLIOLES,,3333.000,4667.000,4667.000,01/03/2024,,311.980,613.300,322.200,"BASF",""
20630,GLICOLES,4000.000,4000.000,4600.000,,01/03/2024,95.000,128.000,22.000,,"QD",""
30304,POLIOLES,95.000,128.000,144.000,146.100,01/03/2024,,71.740,70.900,146.100,"INEOS (QD) hasta 2019",""
30307,POLIOLES,9667.000,10933.000,8533.000,11000.000,01/03/2024,5552.180,5645.240,3244.440,1765.180,"",""
30393,ESTIRENO,9600.000,10933.000,8533.000,8533.000,01/03/2024,2126.380,3033.760,2815.740,2144.500,"Covestro p/ visco, DOW p/ convencional Abridor y especiales a Rokita",""
40292,ESTIRENO,2400.000,3400.000,3400.000,960.000,01/03/2024,367.540,776.100,1014.640,694.780,"",""
70015,ESTIRENO,26623.133,30284.111,28667.779,23941.739,01/03/2024,26623.133,30284.111,28667.779,23941.739,"",""
70120ANT,ESTIRENO,21698.968,,6366.000,,01/03/2024,21698.968,,6000.384,,"",""
70120CHI,ESTIRENO,12999.213,,,,01/03/2024,12999.213,,,,"",""
70120GR,ESTIRENO,54498.020,53648.888,54448.754,58340.790,01/03/2024,54498.020,53648.888,54448.754,58340.790,"",""
70120NL,ESTIRENO,2000.000,5249.948,20549.544,10500.438,01/03/2024,2000.000,5249.948,20549.544,10500.438,"",""
70120TR,ESTIRENO,137227.464,167844.373,131513.797,148605.301,01/03/2024,137227.464,167844.373,131513.797,148605.301,"",""
72011,GLICOLES,,,335.980,305.500,01/03/2024,,,335.980,305.500,"",""
80163,POLIOLES,3300.000,3200.000,3200.000,3200.000,01/03/2024,218.520,726.800,279.300,125.000,"DOW, BASF COVESTRO, SHELL",""
80192,POLIOLES,5000.000,5000.000,4500.000,4500.000,01/03/2024,1200.280,1656.000,1187.840,978.940,"Todos",""
80226,GLICOLES,,,10.900,500.000,01/03/2024,,,10.900,,"",""
80226,POLIOLES,22000.000,24000.000,20000.000,20000.000,01/03/2024,8.520,47.000,39.000,85.000,"",""
80226,OP,1500.000,1500.000,1500.000,1500.000,01/03/2024,,1199.950,,,"",""
80302,POLIOLES,8500.000,3300.000,4500.000,3000.000,01/03/2024,1761.240,1165.740,1255.180,1644.220,"DOW, covestro, Shell. BASF",""
80382,POLIOLES,9500.000,10000.000,9500.000,8500.000,01/03/2024,2807.580,3047.460,3195.540,2345.680,"Todos",""
80407,POLIOLES,9000.000,9300.000,8600.000,7500.000,01/03/2024,2970.940,3748.140,2838.860,2340.840,"Dow, Oltchim, NKNK",""
80492,POLIOLES,17000.000,14000.000,6000.000,,01/03/2024,,592.900,,,"Covestro, Shell",""
80521,POLIOLES,15300.000,16447.500,14967.225,13470.503,01/03/2024,8210.340,10155.180,6532.780,4707.289,"Covestro, Shell",""
